ID,pIC50
6M2N,5.39469495385889
6W63,5.63827216398241
7AU4,4.20065945054642
7B2J,4.69897000433602
7B2U,4.58502665202918
7B5Z,4.35654732351381
7B77,4.21467016498923
7E18,6.13076828026902
7E19,5.76955107862173
7KX5,6.69897000433602
7L0D,5.82390874094432
7L10,5.39577394691553
7L11,6.85387196432176
7L12,6.89279003035213
7L14,6.76955107862173
7LCT,6.56863623584101
7LMD,6.97469413473523
7LMF,7.20065945054642
7M8M,6.92081875395238
7M8N,7
7M8O,7.43179827593301
7M8P,7.69897000433602
7M8X,6.32790214206428
7M8Y,6.95860731484178
7M8Z,6.45154499349597
7M90,6.45154499349597
7M91,7.60205999132796
7N44,7.3767507096021
7N8C,6.16749108729376
7NT3,3
7O46,6.48148606012211
7P2G,6
7QBB,6.4089353929735
7RLS,6.53760200210104
7RM2,6.53760200210104
7RMB,6.16749108729376
7RME,5.85387196432176
7RMT,5.20760831050175
7RMZ,5.19382002601611
7RN4,5.05551732784983
7RNH,4.69897000433602
7RNK,4.69897000433602
7S4B,5.67778070526608
7TVX,4.92445303860747
7VIC,5.66554624884907
7VLP,7.63827216398241
7VLQ,7.63827216398241
7VTH,5.06550154875643
7VU6,7.88605664769316
7VVP,6.15989390554324
7VVT,5.07058107428571
7X6K,7.94309514866353
8ACD,6.35654732351381
